i,x,y
1,42.652882,1491.000000
2,44.300025,2027.000000
3,45.345475,1459.000000
4,46.182441,1313.000000
5,46.760000,1454.000000
6,48.297475,1466.000000
7,48.543525,1977.000000
8,49.588975,2211.000000
9,50.757525,570.000000
10,51.064975,3735.000000
11,51.508882,1806.000000
12,51.618475,3132.000000
13,52.233525,3040.000000
14,52.664000,2627.000000
15,52.848500,3368.000000
16,53.241559,3614.000000
17,53.562441,1572.000000
18,53.832475,1700.000000
19,54.140000,1920.000000
20,54.781765,3425.000000
21,55.247000,1354.000000
22,55.487662,1897.000000
23,55.744338,887.000000
24,55.985000,3425.000000
25,56.292525,1408.000000
26,56.661525,3791.000000
27,57.215025,2914.000000
28,57.337975,3805.000000
29,57.645500,3757.000000
30,58.075975,2948.000000
31,58.691025,5283.000000
32,59.182975,2307.000000
33,59.675000,1697.000000
34,60.044000,2743.000000
35,60.364882,1435.000000
36,61.027975,4373.000000
37,61.458525,3571.000000
38,62.073500,3241.000000
39,62.319475,4122.000000
40,62.565525,2378.000000
41,63.180500,3528.000000
42,63.610975,2553.000000
43,64.164475,3830.000000
44,64.348975,5398.000000
45,64.964025,5099.000000
46,65.517525,4546.000000
47,65.886525,3819.000000
48,66.193975,2733.000000
49,66.501500,2738.000000
50,66.870500,3347.000000
51,67.362525,3714.000000
52,67.854475,4665.000000
53,68.776975,5719.000000
54,69.330475,5546.000000
55,69.822500,3413.000000
56,70.437475,6015.000000
57,70.929500,4896.000000
58,71.237025,5108.000000
59,71.667500,5265.000000
60,72.036500,5966.000000
61,72.528525,3848.000000
62,72.774500,6803.000000
63,73.451025,3445.000000
64,73.635525,4807.000000
65,74.127475,3603.000000
66,74.927025,2481.000000
67,75.603475,4324.000000
68,75.972475,3195.000000
69,76.464500,3547.000000
70,76.772025,3300.000000
71,77.202500,6750.000000
72,77.510025,4186.000000
73,77.879025,4387.000000
74,78.617025,4739.000000
75,78.863000,6946.000000
76,78.986025,3905.000000
77,79.477975,3852.000000
78,79.970000,5883.000000
79,80.277525,3594.000000
80,85.381975,5665.000000